OpenTime,Position,Symbol,Type,Volume,OpenPrice,S / L,T / P,CloseTime,ClosePrice,Commission,Swap,Profit,Comment,_open_dt,_close_dt,_pnl,_strategy,_hold_minutes,CumPnL,Equity,Drawdown_pct
2026.01.07 06:46:32,1396964370,XAUUSD,sell,0.13,4 444.28,4 446.09,4 437.60,2026.01.07 07:01:03,4 446.05,-0.92,0,-23.01,Inv_ATRtrail_pen,2026-01-07 06:46:32,2026-01-07 07:01:03,-23.01,ATR-Trailing STRAT,14.516666666666667,20.709999999999983,10020.71,-3.0542000000000007
2026.01.07 09:07:59,1397141591,XAUUSD,buy,0.22,4 460.74,4 456.64,4 465.10,2026.01.07 09:11:54,4 465.26,-1.54,0,99.44,Inv_Chandelier_p,2026-01-07 09:07:59,2026-01-07 09:11:54,99.44,Chandelier STRAT,3.9166666666666665,120.14999999999998,10120.15,-2.0597999999999956
2026.01.07 09:08:03,1397141573,XAUUSD,buy,0.23,4 459.79,4 459.55,4 463.84,2026.01.07 09:10:56,4 464.16,-1.62,0,100.51,Inv_ATRtrail_pen,2026-01-07 09:08:03,2026-01-07 09:10:56,100.51,ATR-Trailing STRAT,2.8833333333333333,220.65999999999997,10220.66,-1.0546999999999935
2026.01.08 12:06:46,1399453086,XAUUSD,sell,0.1,4 416.06,4 412.50,4 405.06,2026.01.08 12:17:35,4 412.59,-0.7,0,34.7,Inv_Chandelier_p,2026-01-08 12:06:46,2026-01-08 12:17:35,34.7,Chandelier STRAT,10.816666666666666,255.35999999999996,10255.36,-0.7076999999999862
2026.01.08 12:06:46,1399453040,XAUUSD,sell,0.23,4 416.16,4 416.32,4 411.84,2026.01.08 12:15:08,4 412.01,-1.62,0,95.45,Inv_ATRtrail_pen,2026-01-08 12:06:46,2026-01-08 12:15:08,95.45,ATR-Trailing STRAT,8.366666666666667,350.80999999999995,10350.81,-0.0
2026.01.08 12:35:20,1399513681,XAUUSD,buy,0.17,4 422.90,4 426.33,4 428.78,2026.01.08 12:41:10,4 428.87,-1.2,0,101.49,Inv_Chandelier_p,2026-01-08 12:35:20,2026-01-08 12:41:10,101.49,Chandelier STRAT,5.833333333333333,452.29999999999995,10452.3,-0.0
2026.01.08 13:05:19,1399564502,XAUUSD,buy,0.13,4 422.41,4 425.58,4 430.12,2026.01.08 13:18:38,4 425.42,-0.92,0,39.13,Inv_Chandelier_p,2026-01-08 13:05:19,2026-01-08 13:18:38,39.13,Chandelier STRAT,13.316666666666666,491.42999999999995,10491.43,-0.0
2026.01.08 13:05:27,1399564478,XAUUSD,buy,0.13,4 421.42,4 424.29,4 429.10,2026.01.08 13:20:37,4 429.09,-0.92,0,99.71,Inv_ATRtrail_pen,2026-01-08 13:05:27,2026-01-08 13:20:37,99.71,ATR-Trailing STRAT,15.166666666666666,591.14,10591.14,-0.0
2026.01.08 17:02:04,1400149782,XAUUSD,sell,0.21,4 465.13,4 461.60,4 460.15,2026.01.08 17:05:39,4 459.83,-1.48,0,111.3,Inv_Chandelier_p,2026-01-08 17:02:04,2026-01-08 17:05:39,111.3,Chandelier STRAT,3.5833333333333335,702.4399999999999,10702.44,-0.0
2026.01.09 13:35:14,1401680645,XAUUSD,sell,0.05,4 488.07,4 483.07,4 468.42,2026.01.09 14:06:25,4 483.44,-0.36,0,23.15,Inv_Chandelier_p,2026-01-09 13:35:14,2026-01-09 14:06:25,23.15,Chandelier STRAT,31.183333333333334,725.5899999999999,10725.59,-0.0
